,index,rate,rest_type,cuisines,cost_for_two,name,online_order,book_table,votes,listed_in(type),location,price_range
0,0,4.1,Casual Dining,North Indian,800,Jalsa,1,1,775,Buffet,Banashankari,Premium
1,1,4.1,Casual Dining,Chinese,800,Spice Elephant,1,0,787,Buffet,Banashankari,Premium
2,2,3.8,"Cafe, Casual Dining",Cafe,800,San Churro Cafe,1,0,918,Buffet,Banashankari,Premium
3,3,3.7,Quick Bites,South Indian,300,Addhuri Udupi Bhojana,0,0,88,Buffet,Banashankari,Budget
4,4,3.8,Casual Dining,North Indian,600,Grand Village,0,0,166,Buffet,Basavanagudi,Mid
5,5,3.8,Casual Dining,North Indian,600,Timepass Dinner,1,0,286,Buffet,Basavanagudi,Mid
6,6,3.6,Casual Dining,North Indian,800,Rosewood International Hotel - Bar & Restaurant,0,0,8,Buffet,Mysore Road,Premium
7,7,4.6,"Casual Dining, Cafe",Pizza,600,Onesta,1,1,2556,Cafes,Banashankari,Mid
8,8,4.0,Cafe,Cafe,700,Penthouse Cafe,1,0,324,Cafes,Banashankari,Premium
9,9,4.2,Cafe,Cafe,550,Smacznego,1,0,504,Cafes,Banashankari,Mid
10,10,4.1,Cafe,Cafe,500,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,1,0,402,Cafes,Banashankari,Mid
11,11,4.2,Cafe,Cafe,600,Cafe Shuffle,1,1,150,Cafes,Banashankari,Mid
12,12,4.2,Cafe,Cafe,500,The Coffee Shack,1,1,164,Cafes,Banashankari,Mid
13,13,4.0,Cafe,Cafe,450,Caf-Eleven,0,0,424,Cafes,Banashankari,Mid
14,14,3.8,"Cafe, Casual Dining",Cafe,800,San Churro Cafe,1,0,918,Cafes,Banashankari,Premium
15,15,3.8,Cafe,Cafe,650,Cafe Vivacity,1,0,90,Cafes,Banashankari,Premium
16,16,3.9,Cafe,Cafe,800,Catch-up-ino,1,0,133,Cafes,Banashankari,Premium
17,17,3.8,Cafe,Chinese,700,Kirthi's Biryani,1,0,144,Cafes,Banashankari,Premium
18,18,3.9,Cafe,Cafe,300,T3H Cafe,0,0,93,Cafes,Banashankari,Budget
19,19,3.1,Cafe,Cafe,400,360 Atoms Restaurant And Cafe,1,0,13,Cafes,Banashankari,Mid
20,20,3.0,Cafe,Cafe,400,The Vintage Cafe,1,0,62,Cafes,Banashankari,Mid
21,21,3.7,Cafe,Cafe,500,Woodee Pizza,1,0,180,Cafes,Banashankari,Mid
22,22,3.6,Cafe,Cafe,900,Cafe Coffee Day,0,0,28,Cafes,Banashankari,Premium
23,23,3.6,"Quick Bites, Cafe",Italian,600,My Tea House,1,0,62,Cafes,Banashankari,Mid
24,24,3.7,Cafe,Cafe,300,Hide Out Cafe,0,0,31,Cafes,Banashankari,Budget
25,25,3.2,Cafe,Cafe,600,CAFE NOVA,0,0,11,Cafes,Banashankari,Mid
26,26,3.8,"Cafe, Quick Bites",Cafe,200,Coffee Tindi,1,0,75,Cafes,Banashankari,Budget
27,27,3.3,Cafe,Cafe,500,Sea Green Cafe,0,0,4,Cafes,Banashankari,Mid
28,28,3.3,Cafe,Cafe,550,Cuppa,0,0,23,Cafes,Banashankari,Mid
29,29,3.8,"Casual Dining, Cafe",North Indian,550,Srinathji's Cafe,0,0,148,Cafes,Basavanagudi,Mid
30,30,4.0,Cafe,Cafe,600,Redberrys,1,0,219,Cafes,Basavanagudi,Mid
31,31,2.8,Quick Bites,North Indian,500,Foodiction,1,0,506,Delivery,Banashankari,Mid
32,32,3.9,Delivery,Bakery,500,Sweet Truth,1,0,35,Delivery,Banashankari,Mid
33,33,3.9,Delivery,Pizza,750,Ovenstory Pizza,1,0,172,Delivery,Banashankari,Premium
34,34,4.2,Quick Bites,North Indian,500,Faasos,1,0,415,Delivery,Banashankari,Mid
35,35,3.9,Delivery,Biryani,650,Behrouz Biryani,1,0,230,Delivery,Banashankari,Premium
36,36,2.8,Quick Bites,North Indian,400,Fast And Fresh,1,0,91,Delivery,Banashankari,Mid
37,37,4.2,Casual Dining,Chinese,600,Szechuan Dragon,1,0,1647,Delivery,Banashankari,Mid
